id,name,brand,category,price,sku,stock_quantity,created_at
1,Aerodynamic Bronze Bag,Dell,Electronics,1269.81,SKU-00000001,973,2025-12-27 23:07:50
2,Sleek Copper Shirt,Samsung,Electronics,1550.03,SKU-00000002,755,2026-03-07 11:46:24
3,Intelligent Iron Shoes,Apple,Sports,684.59,SKU-00000003,337,2025-08-06 00:28:03
4,Durable Granite Watch,Apple,Electronics,1686.27,SKU-00000004,269,2025-05-03 10:00:41
5,Heavy Duty Bronze Shirt,Adidas,Books,1145.89,SKU-00000005,547,2024-12-22 12:21:05
6,Intelligent Cotton Watch,Apple,Electronics,391.53,SKU-00000006,161,2024-09-29 05:45:30
7,Intelligent Copper Car,Apple,Beauty,1099.05,SKU-00000007,38,2024-09-17 13:21:53
8,Lightweight Wool Watch,Samsung,Electronics,1014.74,SKU-00000008,811,2025-03-11 22:15:28
9,Sleek Cotton Chair,Dell,Toys,1370.10,SKU-00000009,784,2026-06-03 07:58:21
10,Lightweight Bronze Bottle,Samsung,Home,645.35,SKU-00000010,834,2025-03-03 19:24:51
11,Awesome Granite Knife,Dell,Books,987.25,SKU-00000011,380,2025-01-18 00:55:09
12,Heavy Duty Rubber Computer,HP,Books,998.28,SKU-00000012,764,2025-06-13 15:34:57
13,Fantastic Granite Chair,Sony,Food,1991.26,SKU-00000013,637,2025-06-15 00:13:57
14,Fantastic Cotton Wallet,Dell,Books,1563.95,SKU-00000014,502,2025-06-06 02:07:37
15,Aerodynamic Linen Computer,LG,Home,1368.14,SKU-00000015,438,2026-05-19 12:17:49
16,Enormous Wool Watch,LG,Beauty,1139.19,SKU-00000016,40,2026-03-16 18:06:00
17,Gorgeous Wooden Plate,Nike,Toys,1029.92,SKU-00000017,941,2025-02-06 14:14:46
18,Incredible Iron Lamp,Sony,Clothing,1099.42,SKU-00000018,149,2026-03-06 22:19:59
19,Aerodynamic Iron Computer,HP,Electronics,1979.86,SKU-00000019,854,2024-09-25 09:34:13
20,Practical Bronze Chair,Adidas,Books,326.98,SKU-00000020,856,2024-10-03 19:11:57
21,Fantastic Silk Coat,Adidas,Clothing,1667.54,SKU-00000021,725,2026-03-21 16:51:39
22,Enormous Silk Keyboard,Nike,Toys,623.52,SKU-00000022,108,2024-10-09 04:19:27
23,Lightweight Rubber Chair,Samsung,Electronics,1814.74,SKU-00000023,964,2025-11-07 02:22:11
24,Fantastic Paper Plate,Sony,Sports,1932.48,SKU-00000024,587,2025-02-05 07:53:59
25,Enormous Silk Chair,Nike,Clothing,1190.25,SKU-00000025,682,2025-01-15 16:34:38
26,Mediocre Concrete Wallet,Samsung,Electronics,944.92,SKU-00000026,886,2026-01-16 22:15:48
27,Synergistic Plastic Hat,Sony,Clothing,539.78,SKU-00000027,653,2025-02-16 20:43:08
28,Durable Silk Bench,HP,Beauty,761.75,SKU-00000028,853,2025-09-30 12:14:59
29,Intelligent Steel Lamp,Dell,Home,1107.81,SKU-00000029,255,2025-10-17 07:50:53
30,Gorgeous Concrete Hat,HP,Sports,1886.04,SKU-00000030,477,2025-08-25 20:53:51
31,Durable Concrete Coat,Dell,Food,540.66,SKU-00000031,709,2025-01-20 22:57:46
32,Synergistic Wooden Plate,Dell,Home,1632.50,SKU-00000032,519,2026-04-21 06:51:55
33,Intelligent Steel Bag,Adidas,Sports,1192.66,SKU-00000033,174,2024-12-17 13:06:29
34,Incredible Steel Clock,Nike,Toys,1468.55,SKU-00000034,272,2026-06-12 06:36:57
35,Aerodynamic Wool Car,Apple,Clothing,1959.82,SKU-00000035,599,2025-08-18 13:07:58
36,Gorgeous Leather Bag,LG,Sports,543.51,SKU-00000036,739,2025-12-06 07:39:48
37,Awesome Paper Shoes,Samsung,Clothing,632.55,SKU-00000037,156,2026-05-07 07:47:29
38,Synergistic Iron Coat,Adidas,Beauty,723.84,SKU-00000038,732,2026-01-14 12:31:53
39,Enormous Wool Wallet,Adidas,Sports,420.61,SKU-00000039,945,2026-06-13 02:25:27
40,Practical Copper Watch,Samsung,Books,622.10,SKU-00000040,439,2025-05-18 11:13:38
41,Mediocre Leather Chair,Samsung,Food,201.69,SKU-00000041,287,2025-03-30 14:38:07
42,Lightweight Granite Bench,HP,Toys,573.54,SKU-00000042,613,2024-12-17 10:37:04
43,Sleek Concrete Hat,LG,Electronics,1328.78,SKU-00000043,627,2026-03-18 03:08:29
44,Synergistic Iron Watch,Samsung,Sports,944.74,SKU-00000044,927,2025-06-18 06:07:05
45,Heavy Duty Iron Bottle,HP,Toys,1720.38,SKU-00000045,385,2025-10-11 16:16:10
46,Ergonomic Wool Bottle,Apple,Sports,1744.11,SKU-00000046,99,2025-04-09 23:19:08
47,Sleek Rubber Watch,Apple,Toys,1990.93,SKU-00000047,118,2026-07-12 05:10:23
48,Practical Wooden Coat,Nike,Home,351.86,SKU-00000048,965,2025-11-12 13:34:58
49,Small Linen Pants,Adidas,Food,1261.66,SKU-00000049,548,2024-10-09 16:22:18
50,Durable Paper Clock,Sony,Home,1720.27,SKU-00000050,344,2024-12-21 04:39:19
51,Incredible Leather Wallet,LG,Food,95.72,SKU-00000051,743,2025-09-23 01:38:16
52,Incredible Silk Wallet,Dell,Electronics,530.18,SKU-00000052,602,2026-01-18 02:42:21
53,Fantastic Granite Watch,Adidas,Sports,425.55,SKU-00000053,549,2025-08-17 11:37:07
54,Durable Rubber Bottle,Sony,Books,1912.96,SKU-00000054,462,2024-10-10 18:51:21
55,Awesome Marble Gloves,Dell,Beauty,198.89,SKU-00000055,267,2026-03-30 12:52:42
56,Gorgeous Marble Clock,LG,Toys,1763.59,SKU-00000056,819,2025-05-03 19:10:27
57,Practical Cotton Table,Dell,Clothing,116.58,SKU-00000057,227,2025-01-29 13:33:41
58,Heavy Duty Wooden Bench,Apple,Toys,1979.77,SKU-00000058,675,2025-08-06 17:47:13
59,Gorgeous Aluminum Computer,Sony,Toys,1266.09,SKU-00000059,578,2024-12-22 19:58:33
60,Gorgeous Rubber Car,Dell,Electronics,1157.61,SKU-00000060,734,2025-12-10 17:25:25
61,Lightweight Wooden Hat,Nike,Sports,589.49,SKU-00000061,406,2026-08-25 18:01:13
62,Rustic Cotton Bag,HP,Food,1909.00,SKU-00000062,302,2025-12-08 15:49:57
63,Rustic Steel Shirt,Samsung,Books,349.67,SKU-00000063,222,2025-06-02 03:43:55
64,Aerodynamic Paper Coat,Nike,Beauty,952.45,SKU-00000064,828,2026-03-17 00:19:29
65,Practical Aluminum Pants,Adidas,Electronics,1119.75,SKU-00000065,970,2025-10-28 10:44:27
66,Aerodynamic Linen Table,Samsung,Electronics,842.46,SKU-00000066,881,2025-11-06 01:27:53
67,Sleek Wooden Clock,Adidas,Books,805.60,SKU-00000067,466,2025-01-02 23:28:44
68,Mediocre Bronze Coat,LG,Home,1815.11,SKU-00000068,55,2025-11-25 05:22:10
69,Lightweight Linen Knife,LG,Sports,1861.82,SKU-00000069,587,2024-10-24 18:30:01
70,Durable Marble Gloves,LG,Clothing,37.14,SKU-00000070,278,2024-12-08 11:50:05
71,Aerodynamic Leather Coat,Sony,Beauty,1425.36,SKU-00000071,293,2025-08-24 00:47:25
72,Synergistic Cotton Watch,Adidas,Clothing,203.06,SKU-00000072,828,2025-07-30 08:53:31
73,Sleek Marble Plate,Sony,Food,1566.71,SKU-00000073,761,2026-02-28 17:50:35
74,Rustic Leather Bag,Sony,Sports,281.82,SKU-00000074,859,2025-10-18 03:38:27
