id,account_id,amount,type,timestamp,description,balance,status
1,4607,5452,WITHDRAWAL,2026-01-21 01:08:47,Accusantium temporibus enim nobis.,4548,FAILED
2,6367,37866,WITHDRAWAL,2026-01-21 11:23:58,Optio ad facilis placeat praesentium illum eaque deserunt.,-33318,COMPLETED
3,1545,9107,TRANSFER,2026-06-04 19:32:55,Voluptate sunt quas suscipit necessitatibus voluptas.,-42425,REVERSED
4,2102,30835,WITHDRAWAL,2025-12-17 18:55:37,Voluptatibus fuga impedit porro numquam.,-73260,PENDING
5,4593,8667,WITHDRAWAL,2025-10-31 23:23:15,Libero minus recusandae mollitia.,-81927,COMPLETED
6,5790,14683,DEBIT,2026-04-23 00:58:25,Nesciunt perferendis deserunt.,-96610,PENDING
7,7510,9185,TRANSFER,2026-08-03 02:46:53,Quas quos quia est quaerat distinctio magni.,-105795,REVERSED
8,2789,41004,WITHDRAWAL,2026-02-07 19:14:39,Nulla impedit est corporis nemo blanditiis iure.,-146799,FAILED
9,6878,35737,DEPOSIT,2026-07-27 01:24:40,Perspiciatis rem cupiditate molestiae unde provident asperiores doloremque.,-111062,PENDING
10,5136,5965,DEPOSIT,2026-03-24 18:21:33,Asperiores temporibus perferendis libero minus quo accusantium.,-105097,FAILED
11,6640,44583,DEBIT,2026-04-23 12:10:28,Reiciendis veritatis et debitis.,-149680,COMPLETED
12,6585,34169,DEBIT,2026-06-04 10:58:05,Autem ut voluptatibus atque.,-183849,REVERSED
13,6908,11168,WITHDRAWAL,2026-02-24 06:03:14,Tempore deleniti repellendus ad quod error commodi.,-195017,PENDING
14,7333,34234,TRANSFER,2026-08-08 09:41:05,Eos provident aliquid fuga explicabo laudantium.,-229251,COMPLETED
15,1383,20782,TRANSFER,2026-08-08 00:56:01,Aut consequuntur veniam rem culpa perferendis quia consequatur.,-250033,FAILED
16,1543,8225,CREDIT,2026-09-01 08:36:39,Id consequatur officia distinctio doloremque.,-241808,PENDING
17,6258,4972,WITHDRAWAL,2026-06-17 10:43:31,Modi cupiditate iure.,-246780,PENDING
18,6773,47296,CREDIT,2025-12-11 13:02:25,Minima dignissimos atque quam qui molestiae.,-199484,COMPLETED
19,7714,40631,WITHDRAWAL,2026-09-11 08:47:19,Blanditiis repudiandae sapiente tempore voluptatum rerum iste.,-240115,PENDING
20,5598,24013,CREDIT,2025-09-23 19:06:26,Quibusdam eveniet exercitationem doloremque reprehenderit vitae.,-216102,PENDING
21,1363,36258,WITHDRAWAL,2026-01-20 15:36:04,Sint architecto vero veritatis veritatis totam recusandae.,-252360,PENDING
22,5699,5349,DEBIT,2026-04-14 05:46:13,Ipsam tempore asperiores illo perspiciatis deserunt ullam quos.,-257709,FAILED
